"REF_DATE","GEO","DGUID","Gender (3)","Marital status (13)","Age (16)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common-law","60 to 64 years","","0","units","0","","44.1.9.11","25730","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common-law","65 to 69 years","","0","units","0","","44.1.9.12","21950","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common-law","70 to 74 years","","0","units","0","","44.1.9.13","19980","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common-law","75 to 79 years","","0","units","0","","44.1.9.14","15695","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common-law","80 to 84 years","","0","units","0","","44.1.9.15","13310","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common-law","85 years and over","","0","units","0","","44.1.9.16","20205","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common law - Never married","Total - Age","","0","units","0","","44.1.10.1","326780","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common law - Never married","15 to 19 years","","0","units","0","","44.1.10.2","82925","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common law - Never married","20 to 24 years","","0","units","0","","44.1.10.3","80445","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common law - Never married","25 to 29 years","","0","units","0","","44.1.10.4","55815","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common law - Never married","30 to 34 years","","0","units","0","","44.1.10.5","30380","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common law - Never married","35 to 39 years","","0","units","0","","44.1.10.6","18455","","","","0"
